,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash
227,25_34746_33665_4,Directional,-0.06634979565993206,32440.61,34746.0,25,0.00025085127695289705,34746,4,7.73302248346529,Infeasible,398.84663462638855,3952.3300000000017
228,25_38296_38153_3,Naive,0.03438479171173283,39612.79998339252,38296.0,25,0.00014778670984053364,38296,3,8.128083599844231,Complete,5.420522451400757,0.18998339251953666
229,25_38296_38153_3,DayTrading,0.16529794231136696,44626.24999875611,38296.0,25,0.00014778670984053364,38296,3,8.128083599844231,Complete,1738.5926690101624,0.8599800033774985
230,25_38296_38153_3,Directional,0.027757207019009765,39358.99,38296.0,25,0.00014778670984053364,38296,3,8.128083599844231,Infeasible,657.0051913261414,2326.009999999998
231,25_47988_45826_9,Naive,-0.00929461591845197,47541.96997130533,47988.0,25,0.00026103353653774726,47988,9,9.18618776829548,Complete,5.4733991622924805,7.129971305329491
232,25_47988_45826_9,DayTrading,-0.11260315083731086,42584.399997619126,47988.0,25,0.00026103353653774726,47988,9,9.18618776829548,Infeasible,701.1379683017731,19.799947965154445
233,25_47988_45826_9,Directional,-0.026340335083770875,46723.98,47988.0,25,0.00026103353653774726,47988,9,9.18618776829548,Infeasible,523.762521982193,6191.930000000001
234,26_120623_118668_6,Naive,-0.005007585752021224,120018.96998383394,120623.0,26,0.000160602734696984,120623,6,9.483431633777696,Complete,5.4802844524383545,5.989983833932683
235,26_120623_118668_6,DayTrading,-0.08272054251676712,110645.0,120623.0,26,0.000160602734696984,120623,6,9.483431633777696,Infeasible,1202.7921414375305,12.5
236,26_120623_118668_6,Directional,-0.017138273795213217,118555.73,120623.0,26,0.000160602734696984,120623,6,9.483431633777696,Infeasible,115.36019802093506,10040.780000000004
237,26_170572_169624_8,Naive,-0.03943795007430088,163844.98997992635,170572.0,26,0.0003511550369372053,170572,8,7.018883699279441,Complete,5.5799880027771,0.18997992637514471
238,26_170572_169624_8,DayTrading,0.1955610533942333,203929.23999956116,170572.0,26,0.0003511550369372053,170572,8,7.018883699279441,Complete,187.4498007297516,0.3199996523407891
239,26_170572_169624_8,Directional,-0.029131862204816658,165602.92,170572.0,26,0.0003511550369372053,170572,8,7.018883699279441,Infeasible,29.151767015457153,1931.2600000000102
240,26_200922_200124_9,Naive,-0.02620738401255837,195656.35998942875,200922.0,26,0.0001817115976636263,200922,9,8.473125892139686,Complete,5.572457313537598,0.36998942873219676
241,26_200922_200124_9,DayTrading,-0.17478369717286463,165804.1099966337,200922.0,26,0.0001817115976636263,200922,9,8.473125892139686,Infeasible,367.8035409450531,0.3499955724264336
242,26_200922_200124_9,Directional,-0.02646867938802129,195603.86,200922.0,26,0.0001817115976636263,200922,9,8.473125892139686,Infeasible,107.81876754760742,6385.049999999995
243,26_225924_225467_2,Naive,-0.009687328493272694,223735.39999748586,225924.0,26,0.00015908119560818028,225924,2,7.117201637026165,Complete,5.612108469009399,22.53999748587364
244,26_225924_225467_2,DayTrading,0.03292863971955182,233363.37000000002,225924.0,26,0.00015908119560818028,225924,2,7.117201637026165,Complete,183.26562476158142,0.8999999999888644
245,26_225924_225467_2,Directional,-0.007977904073936342,224121.6,225924.0,26,0.00015908119560818028,225924,2,7.117201637026165,Infeasible,49.85076117515564,1716.730000000001
246,26_319189_317845_5,Naive,0.004727857147145783,320698.0799949403,319189.0,26,0.000345980034010221,319189,5,9.868331762996329,Complete,5.634084224700928,9.01999494034294
247,26_319189_317845_5,DayTrading,-0.14857892972513112,271764.2399999651,319189.0,26,0.000345980034010221,319189,5,9.868331762996329,Infeasible,168.65749859809875,0.3299999651612092
248,26_319189_317845_5,Directional,0.0028811456535158255,320108.63000000006,319189.0,26,0.000345980034010221,319189,5,9.868331762996329,Infeasible,23.53600287437439,12036.740000000043
249,26_322815_322399_6,Naive,0.02150817029975756,329758.15999531624,322815.0,26,0.00021769576402053687,322815,6,8.339174507516132,Complete,5.6576828956604,0.96999531623851
250,26_322815_322399_6,DayTrading,0.03257416786704475,333330.43000000005,322815.0,26,0.00021769576402053687,322815,6,8.339174507516132,Complete,96.26175808906555,0.15999999998894054
251,26_322815_322399_6,Directional,0.021019686197977262,329600.47000000003,322815.0,26,0.00021769576402053687,322815,6,8.339174507516132,Infeasible,15.179794549942017,10570.520000000039
252,26_35848_35261_7,Naive,-0.013914585563131184,35349.18993673287,35848.0,26,0.0001663067641107933,35848,7,5.8775867802705655,Complete,5.705129623413086,3.06993673287036
253,26_35848_35261_7,DayTrading,0.019950903789483946,36563.19999904542,35848.0,26,0.0001663067641107933,35848,7,5.8775867802705655,Complete,2949.993818283081,0.6699990454260902
254,26_35848_35261_7,Directional,-0.0031120285650525817,35736.439999999995,35848.0,26,0.0001663067641107933,35848,7,5.8775867802705655,Infeasible,227.8374400138855,4146.2599999999975
255,26_42007_41260_3,Naive,0.06285761866734699,44647.459987359245,42007.0,26,0.0002425472799276103,42007,3,6.831733375637602,Complete,5.725373268127441,1.3099873592424274
256,26_42007_41260_3,DayTrading,0.15532077985598983,48531.559999410565,42007.0,26,0.0002425472799276103,42007,3,6.831733375637602,Complete,1131.5815405845642,1.799987003300977
257,26_42007_41260_3,Directional,0.07225914728497612,45042.38999999999,42007.0,26,0.0002425472799276103,42007,3,6.831733375637602,Infeasible,2836.4719593524933,689.9699999999953
258,27_111153_110790_5,Naive,0.00012478293942349932,111166.86999806574,111153.0,27,0.0005481999883321429,111153,5,6.979245281423815,Complete,5.7613043785095215,0.5499980657364176
259,27_111153_110790_5,DayTrading,0.3595000584770506,151112.5099998996,111153.0,27,0.0005481999883321429,111153,5,6.979245281423815,Complete,153.47125887870789,0.29999989964159823
260,27_111153_110790_5,Directional,0.0021581063938895455,111392.88,111153.0,27,0.0005481999883321429,111153,5,6.979245281423815,Infeasible,60.75268864631653,4389.160000000005
261,27_116840_116089_9,Naive,0.038712256076686186,121363.14000000001,116840.0,27,0.00018580463610301222,116840,9,6.435299563842824,Complete,5.958564281463623,2.6100000000192267
262,27_116840_116089_9,DayTrading,-0.012939489900718732,115328.15000000002,116840.0,27,0.00018580463610301222,116840,9,6.435299563842824,Infeasible,477.014365196228,16.600000000034925
263,27_116840_116089_9,Directional,0.03927832933926749,121429.28000000001,116840.0,27,0.00018580463610301222,116840,9,6.435299563842824,Infeasible,1651.0031523704529,4385.180000000016
264,27_138735_137949_3,Naive,0.049712185060567175,145631.8199943778,138735.0,27,0.0002434937623757047,138735,3,7.912752293058181,Complete,5.859567165374756,0.289994377776452
265,27_138735_137949_3,DayTrading,-0.018482863012217125,136170.78000000006,138735.0,27,0.0002434937623757047,138735,3,7.912752293058181,Infeasible,99.03045916557312,11.220000000059372
266,27_138735_137949_3,Directional,0.05226939849353084,145986.595,138735.0,27,0.0002434937623757047,138735,3,7.912752293058181,Infeasible,43.624804735183716,7552.745000000006
267,27_269501_267827_9,Naive,-0.007073090689059429,267594.7949862078,269501.0,27,0.0001873403718178378,269501,9,9.110317199093604,Complete,5.858901023864746,1.1099862078244769
268,27_269501_267827_9,DayTrading,0.02928894512450776,277394.39999999997,269501.0,27,0.0001873403718178378,269501,9,9.110317199093604,Complete,139.72137069702148,1.5749999999771873
269,27_269501_267827_9,Directional,-0.00657728542751219,267728.41500000004,269501.0,27,0.0001873403718178378,269501,9,9.110317199093604,Infeasible,143.09453320503235,3923.5099999999843
270,27_306192_304643_3,Naive,-0.02943720900611368,297178.56210000004,306192.0,27,0.00023902845972761862,306192,3,6.686212522072707,Complete,5.874342203140259,0.7800000000402179
271,27_306192_304643_3,DayTrading,-0.12865436229555352,266799.0634999999,306192.0,27,0.00023902845972761862,306192,3,6.686212522072707,Infeasible,148.9685366153717,2.002099999866914
272,27_306192_304643_3,Directional,-0.027434053143125782,297791.91240000003,306192.0,27,0.00023902845972761862,306192,3,6.686212522072707,Infeasible,26.869115591049194,1258.3500000000363
273,27_67864_67622_2,Naive,0.04012878698573579,70587.29999999997,67864.0,27,0.0001977285461881901,67864,2,6.874754655656636,Complete,5.964871406555176,2.469999999993604
274,27_67864_67622_2,DayTrading,-0.040128934339266946,65140.68999999999,67864.0,27,0.0001977285461881901,67864,2,6.874754655656636,Infeasible,228.46296858787537,5.739999999990687
275,27_67864_67622_2,Directional,0.024787074148296295,69546.14999999998,67864.0,27,0.0001977285461881901,67864,2,6.874754655656636,Infeasible,866.551577091217,336.32999999999396
276,28_110627_109787_4,Naive,0.07898171323834378,119364.50999041826,110627.0,28,0.00018773508142598753,110627,4,8.736907908260008,Complete,5.9916040897369385,0.4099904182563705
277,28_110627_109787_4,DayTrading,0.1343759660842291,125492.61000000002,110627.0,28,0.00018773508142598753,110627,4,8.736907908260008,Complete,1927.2018585205078,1.1100000000152281
278,28_110627_109787_4,Directional,0.07965505708371375,119439.0,110627.0,28,0.00018773508142598753,110627,4,8.736907908260008,Infeasible,530.4439771175385,960.3699999999989
279,28_120291_119357_6,Naive,-0.0022172066964609334,120024.28998927602,120291.0,28,0.0003552239623313856,120291,6,8.575291962711992,Complete,5.8571953773498535,0.3499892760160037
280,28_120291_119357_6,DayTrading,-0.03738110084642773,115794.38999808236,120291.0,28,0.0003552239623313856,120291,6,8.575291962711992,Infeasible,118.32411360740662,11.619995848382676
281,28_120291_119357_6,Directional,0.0032328270610436746,120679.88,120291.0,28,0.0003552239623313856,120291,6,8.575291962711992,Infeasible,127.01305079460144,3366.1400000000044
282,28_151092_151077_2,Naive,0.060554595875360724,160241.315,151092.0,28,0.0003808285976144367,151092,2,9.522268825411443,Complete,5.955276966094971,0.7849999999994282
283,28_151092_151077_2,DayTrading,-0.08436012495756051,138345.85999991227,151092.0,28,0.0003808285976144367,151092,2,9.522268825411443,Infeasible,84.95108246803284,2.479999975911888
284,28_151092_151077_2,Directional,0.060095273078654116,160171.915,151092.0,28,0.0003808285976144367,151092,2,9.522268825411443,Infeasible,33.84797239303589,10771.245000000003
285,28_239838_239252_3,Naive,0.027119013667558988,246342.17,239838.0,28,0.0001707253005500791,239838,3,9.439994631921643,Complete,5.995206594467163,3.9800000000195723
286,28_239838_239252_3,DayTrading,0.016265562584503342,243739.0999991421,239838.0,28,0.0001707253005500791,239838,3,9.439994631921643,Infeasible,188.75911402702332,14.179998423173494
287,28_239838_239252_3,Directional,0.0240870921205148,245615.00000000003,239838.0,28,0.0001707253005500791,239838,3,9.439994631921643,Infeasible,27.504279136657715,2.9100000000194086
288,28_250580_249271_6,Naive,0.0405676030791578,260745.42997957536,250580.0,28,0.00031477823185730765,250580,6,6.891716300526245,Complete,6.0334272384643555,7.679979575370226
289,28_250580_249271_6,DayTrading,0.17603867016575872,294691.7699701358,250580.0,28,0.00031477823185730765,250580,6,6.891716300526245,Complete,144.9468789100647,1.0199701358469895
290,28_250580_249271_6,Directional,0.03439232979487577,259198.02999999997,250580.0,28,0.00031477823185730765,250580,6,6.891716300526245,Infeasible,100.09970188140869,26690.459999999992
291,28_255295_255211_4,Naive,-0.027167512121715524,248359.26999288664,255295.0,28,0.0005214350617463913,255295,4,8.271427322570366,Complete,6.098575115203857,0.7499928866498493
292,28_255295_255211_4,DayTrading,-0.031109814136705733,247352.8199999697,255295.0,28,0.0005214350617463913,255295,4,8.271427322570366,Infeasible,112.3566644191742,1.6199999697324934
293,28_255295_255211_4,Directional,-0.026321157876182468,248575.34,255295.0,28,0.0005214350617463913,255295,4,8.271427322570366,Infeasible,18.74520468711853,11.6799999999904
294,28_291282_290784_6,Naive,-0.009295013090645017,288574.52999693074,291282.0,28,0.00025030974671994845,291282,6,9.167668665117377,Complete,6.0115392208099365,3.1999969308070035
295,28_291282_290784_6,DayTrading,-0.11732753827222807,257106.59999698887,291282.0,28,0.00025030974671994845,291282,6,9.167668665117377,Infeasible,141.529953956604,9.619959204510295
296,28_291282_290784_6,Directional,-0.010388077533112194,288256.14,291282.0,28,0.00025030974671994845,291282,6,9.167668665117377,Infeasible,28.300079822540283,8741.479999999998
297,28_63023_62684_3,Naive,0.006278342439749795,63418.67997558035,63023.0,28,0.00023990097380899446,63023,3,8.838490993813632,Complete,6.173929929733276,0.6099755803488733
298,28_63023_62684_3,DayTrading,0.008400107901209855,63552.40000025795,63023.0,28,0.00023990097380899446,63023,3,8.838490993813632,Complete,547.2411799430847,0.16998697443419708
299,28_63023_62684_3,Directional,0.00038382812623966375,63047.19,63023.0,28,0.00023990097380899446,63023,3,8.838490993813632,Infeasible,745.655839920044,5.310000000000855
300,28_78940_77433_3,Naive,0.03960045584373619,82066.05998430453,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Complete,6.150512933731079,0.4199843045389571
301,28_78940_77433_3,DayTrading,-0.05881074237600586,74297.4799968381,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Infeasible,334.7627594470978,7.55999644375108
302,28_78940_77433_3,Directional,0.03878173296174319,82001.43000000001,78940.0,28,0.0003153551699797752,78940,3,5.894527749057647,Infeasible,698.5272347927094,1.5500000000074579
303,29_159592_157435_4,Naive,0.00395333091959335,160222.91998811974,159592.0,29,0.00019327620767477273,159592,4,9.029988465403624,Complete,6.169226408004761,2.5899881197242394
304,29_159592_157435_4,DayTrading,-0.1966846082510402,128202.70999999999,159592.0,29,0.00019327620767477273,159592,4,9.029988465403624,Infeasible,157.8194968700409,5.449999999982538
305,29_159592_157435_4,Directional,-0.0004920672715424259,159513.47,159592.0,29,0.00019327620767477273,159592,4,9.029988465403624,Infeasible,88.5767912864685,8748.62000000002
306,29_182484_181962_3,Naive,0.029438526077718838,187856.05999276644,182484.0,29,0.00031145665209131383,182484,3,8.170557049987423,Complete,6.137500286102295,2.7199927664893266
307,29_182484_181962_3,DayTrading,0.22254937419096682,223095.6999998644,182484.0,29,0.00031145665209131383,182484,3,8.170557049987423,Complete,196.41595554351807,0.18994877020745626
308,29_182484_181962_3,Directional,0.03164863768878365,188259.37,182484.0,29,0.00031145665209131383,182484,3,8.170557049987423,Infeasible,54.02657961845398,1526.8600000000001
309,29_184692_183436_7,Naive,0.04832366848666911,193616.9949801399,184692.0,29,0.00015039408635362622,184692,7,6.935055861888101,Complete,6.278718948364258,41.93998013990631
310,29_184692_183436_7,DayTrading,0.05148577090084924,194201.00999921965,184692.0,29,0.00015039408635362622,184692,7,6.935055861888101,Complete,148.09648609161377,1.3749992196858813
311,29_184692_183436_7,Directional,0.049549547354514535,193843.405,184692.0,29,0.00015039408635362622,184692,7,6.935055861888101,Infeasible,220.64900994300842,41.47999999999956
