,experiment,horizon,forecast_model,policy,Gain,Final Value,Initial Value,num_stocks,initial_budget,trading_fee,status,total_runtime,forecast_time,solve_time,leftover_cash,penalty,total_trades,total_trading_costs
52,20191004_30_33_5_140418,30,GBM,Directional,0.06017596082248089,147916.63000000003,139520.83000000002,33,140418.16,5,Infeasible,15.845499277114868,0.6399297714233398,12.046584367752075,4182.060000000038,,29,145
53,20191004_30_33_5_140418,30,GBM,SeededDirectional,0.07792435007733278,150392.90000000005,139520.83000000002,33,140418.16,5,Complete,356.3095655441284,0.6971282958984375,352.4118854999542,212.70000000003648,,42,210
54,20191025_84_19_4_60563,84,GBM,Naive,0.10014719930076618,67062.95999999999,60958.170000000006,19,60563.04,4,Complete,11.801743030548096,2.824552059173584,0.15346837043762207,4.109999999996944,,12,48
55,20191025_84_19_4_60563,84,GBM,Directional,0.0808509343374315,65886.69499999999,60958.170000000006,19,60563.04,4,Complete,381.84129071235657,2.813612937927246,370.2284343242645,72.70499999999811,,24,96
56,20191025_84_19_4_60563,84,GBM,SeededDirectional,0.044141909115710316,63648.980000000025,60958.170000000006,19,60563.04,4,Complete,410.3369417190552,2.622504472732544,398.79427456855774,1297.8700000000276,,30,120
57,20191106_69_39_2_322797,69,GBM,Naive,0.08730581902344832,353009.3499999999,324664.26999999996,39,322797.51,2,Complete,10.873091697692871,3.2465457916259766,0.11832690238952637,1.019999999905849,,34,68
58,20191106_69_39_2_322797,69,GBM,Directional,0.10478313489809053,358683.61000000004,324664.26999999996,39,322797.51,2,Complete,791.3196837902069,3.336156129837036,780.5225932598114,66.6799999999912,,52,104
59,20191106_69_39_2_322797,69,GBM,SeededDirectional,0.06855823709827995,346922.67999999993,324664.26999999996,39,322797.51,2,Complete,367.73143243789673,3.4678430557250977,356.6029796600342,144.38999999996304,,42,84
60,20191111_49_38_2_166761,49,GBM,Naive,0.10431264610597321,185457.03999999998,167938.89,38,166761.16,2,Complete,7.769128084182739,1.9814643859863281,0.13608956336975098,1.00999999998794,,29,58
61,20191111_49_38_2_166761,49,GBM,Directional,0.09749739920276941,184312.495,167938.89,38,166761.16,2,Complete,63.19011449813843,1.9256093502044678,55.80048727989197,7387.7949999999955,,61,122
62,20191111_49_38_2_166761,49,GBM,SeededDirectional,0.10412364878676966,185425.29999999996,167938.89,38,166761.16,2,Complete,194.80520296096802,1.870194673538208,187.33630537986755,8500.599999999948,,44,88
63,20191209_36_31_7_62533,36,GBM,Naive,0.014941380575980373,63158.3,62228.52,31,62533.9,7,Complete,5.313598394393921,0.9390130043029785,0.16559815406799316,0.910000000010541,,29,203
64,20191209_36_31_7_62533,36,GBM,Directional,0.014571935826209722,63135.310000000005,62228.52,31,62533.9,7,Complete,69.12817883491516,0.7991631031036377,64.04997658729553,47.629999999996016,,37,259
65,20191209_36_31_7_62533,36,GBM,SeededDirectional,0.011781173648352995,62961.645000000004,62228.52,31,62533.9,7,Complete,39.735755920410156,0.7933361530303955,34.69455361366272,17.995000000003074,,37,259
66,20191213_42_38_6_343718,42,GBM,Naive,0.15180135653917154,398412.4200000001,345903.76000000007,38,343718.46,6,Complete,6.329998254776001,1.1110775470733643,0.13749313354492188,0.0500000001262606,,31,186
67,20191213_42_38_6_343718,42,GBM,Directional,0.1362879085211447,393046.26000000007,345903.76000000007,38,343718.46,6,Complete,28.351277589797974,1.2314391136169434,22.229191780090332,5.940000000067812,,44,264
68,20191213_42_38_6_343718,42,GBM,SeededDirectional,0.1368943488790063,393256.03000000014,345903.76000000007,38,343718.46,6,Complete,27.468883514404297,1.2017560005187988,21.245614290237427,810.9100000000835,,47,282
69,20191220_53_20_2_73754,53,GBM,Naive,0.002632355946286459,73450.40999999999,73257.56999999999,20,73754.28,2,Complete,7.639540910720825,1.115074872970581,0.14654898643493652,3.759999999991578,,17,34
70,20191220_53_20_2_73754,53,GBM,Directional,-0.002323172881655812,73087.37999999999,73257.56999999999,20,73754.28,2,Complete,516.9091033935547,1.1745309829711914,509.36973428726196,1602.6499999999937,,27,54
