,experiment,horizon,forecast_model,policy,Gain,Final Value,Initial Value,num_stocks,initial_budget,trading_fee,status,total_runtime,forecast_time,solve_time,leftover_cash,penalty,total_trades,total_trading_costs
22,20180813_67_27_4_172004,67,GBM,Directional,-0.0024836960660555994,172901.89500000002,173332.4,27,172004.43,4,Complete,62.36742830276489,1.8325798511505127,55.37373447418213,8523.225000000008,,31,124
23,20180813_67_27_4_172004,67,GBM,SeededDirectional,-0.034235780500356444,167398.23,173332.4,27,172004.43,4,Complete,50.175514459609985,1.759873628616333,43.14182782173157,27.789999999998145,,35,140
24,20180905_67_17_2_190709,67,GBM,Naive,-0.09981373976454687,171705.02000000005,190743.88,17,190709.26,2,Complete,6.717405080795288,1.2275381088256836,0.10803031921386719,0.4300000000107502,,13,26
25,20180905_67_17_2_190709,67,GBM,Directional,-0.0907616013682849,173431.66000000003,190743.88,17,190709.26,2,Complete,645.7172002792358,1.408909797668457,638.8726382255554,16.81000000002183,,22,44
26,20180905_67_17_2_190709,67,GBM,SeededDirectional,-0.09222324721506116,173152.86000000004,190743.88,17,190709.26,2,Complete,38.366772174835205,1.2564473152160645,31.576701641082764,6589.930000000029,,24,48
27,20181102_36_17_4_41823,36,GBM,Naive,-0.13994684702330773,36312.759999999995,42221.52999999999,17,41823.21,4,Complete,3.6375539302825928,0.46282505989074707,0.11972737312316895,0.08999999999741704,,14,56
28,20181102_36_17_4_41823,36,GBM,Directional,-0.11098425376816039,37535.604999999996,42221.52999999999,17,41823.21,4,Complete,19.958409547805786,0.4590730667114258,16.44303798675537,27.794999999996435,,20,80
29,20181102_36_17_4_41823,36,GBM,SeededDirectional,-0.10470842719342473,37800.579999999994,42221.52999999999,17,41823.21,4,Complete,19.3991596698761,0.46517181396484375,15.872212648391724,3099.159999999996,,18,72
30,20181105_55_38_2_290398,55,GBM,Naive,-0.026417973508295587,285019.57499999995,292753.52999999997,38,290398.87,2,Complete,6.470611572265625,1.6317472457885742,0.10709333419799805,0.9299999999511783,,35,70
31,20181105_55_38_2_290398,55,GBM,Directional,-0.011150130281947382,289489.29,292753.52999999997,38,290398.87,2,Complete,121.47047424316406,1.9468145370483398,114.78699851036072,9128.474999999946,,45,90
32,20181105_55_38_2_290398,55,GBM,SeededDirectional,-0.01052860062865843,289671.245,292753.52999999997,38,290398.87,2,Complete,96.3761715888977,2.022136926651001,89.58697891235352,9895.099999999955,,45,90
33,20190107_73_12_7_26368,73,GBM,Naive,0.09818245843575607,28940.6,26353.18,12,26368.06,7,Infeasible,7.592145204544067,1.1503949165344238,0.031063318252563477,1273.6600000000035,,0,0
34,20190107_73_12_7_26368,73,GBM,Directional,0.07728820582563488,28389.970000000005,26353.18,12,26368.06,7,Infeasible,48.95908856391907,1.1171090602874756,41.37924528121948,4903.110000000004,,9,63
35,20190107_73_12_7_26368,73,GBM,SeededDirectional,0.07356190030956444,28291.770000000008,26353.18,12,26368.06,7,Infeasible,44.507471799850464,1.0665218830108643,36.93833923339844,1082.7400000000075,,10,70
36,20190122_84_15_7_30787,84,GBM,Naive,-0.009713238846077773,30524.50999999999,30823.909999999996,15,30787.26,7,Complete,9.39043116569519,1.6221463680267334,0.13395047187805176,1.3499999999921783,,11,77
37,20190122_84_15_7_30787,84,GBM,Directional,-0.021640992333548905,30156.849999999995,30823.909999999996,15,30787.26,7,Complete,85.75370526313782,1.6592273712158203,76.43872618675232,1943.7199999999955,,20,140
38,20190122_84_15_7_30787,84,GBM,SeededDirectional,-0.029865614063887328,29903.335,30823.909999999996,15,30787.26,7,Complete,110.943922996521,1.8108940124511719,101.39026951789856,25.88499999999931,,21,147
39,20190129_78_20_3_143244,78,GBM,Naive,0.13360339082182623,163699.46000000002,144406.29000000004,20,143244.0,3,Complete,8.908838033676147,1.970038890838623,0.13123869895935059,0.15000000002328306,,18,54
40,20190129_78_20_3_143244,78,GBM,Directional,0.10983614356410648,160267.32000000004,144406.29000000004,20,143244.0,3,Complete,367.3078055381775,1.9695394039154053,358.06372833251953,1254.0600000000306,,35,105
41,20190129_78_20_3_143244,78,GBM,SeededDirectional,0.11306983234594534,160734.285,144406.29000000004,20,143244.0,3,Complete,587.4217820167542,2.0396382808685303,577.8113460540771,1677.4850000000256,,32,96
42,20190131_67_24_5_194826,67,GBM,Naive,0.08662636897464378,211725.41000000003,194846.55999999997,24,194826.78,5,Complete,8.55051851272583,1.7461225986480713,0.12918472290039062,1.0300000000229375,,18,90
43,20190131_67_24_5_194826,67,GBM,Directional,0.06444542823850757,207403.53000000003,194846.55999999997,24,194826.78,5,Infeasible,374.10951566696167,1.804582118988037,365.660457611084,8697.980000000016,,34,170
44,20190131_67_24_5_194826,67,GBM,SeededDirectional,0.07405432253974636,209275.79,194846.55999999997,24,194826.78,5,Complete,581.6613173484802,1.879840612411499,573.0430452823639,56.959999999998445,,34,170
45,20190207_87_35_3_258966,87,GBM,Naive,0.05138999705475577,272374.88,259061.69999999998,35,258966.49,3,Complete,12.62281847000122,3.5842020511627197,0.14292526245117188,1.3099999999813008,,31,93
46,20190207_87_35_3_258966,87,GBM,Directional,0.0358570178455558,268350.88,259061.69999999998,35,258966.49,3,Infeasible,1060.9998219013214,4.770217180252075,1047.2708263397217,78.0099999999893,,50,150
47,20190207_87_35_3_258966,87,GBM,SeededDirectional,0.037574678177486755,268795.8600056126,259061.69999999998,35,258966.49,3,Complete,494.6375906467438,4.284945487976074,481.2847442626953,6.709543119581269,,55,165
48,20190222_82_20_6_176258,82,GBM,Naive,-0.004132664449923271,175422.31,176150.28000000003,20,176258.36,6,Complete,11.144556283950806,2.241490364074707,0.1410360336303711,2.239999999987049,,18,108
49,20190222_82_20_6_176258,82,GBM,Directional,-0.007697688587267874,174794.33,176150.28000000003,20,176258.36,6,Complete,268.5390841960907,2.3254787921905518,257.8898983001709,2.2999999999949523,,27,162
