,experiment,policy,Gain,Final Value,Initial Value,num_stocks,pct_variance,initial_budget,trading_fee,average_error,status,runtime,leftover_cash,penalty,total_trades,total_trading_costs
146,21_239452_236795_7,Naive,-0.004572065,238357.21,239452,21,0.000386625,239452,7,8.647652922,Complete,4.355969429,0.08,,15,105
147,21_240644_239139_5,Directional,0.001629586,241036.15,240644,21,0.000239332,240644,5,7.336849632,Infeasible,12.76728582,4862.98,,19,95
148,21_240644_239139_5,DirP_0,0.047390668,252048.28,240644,21,0.000239332,240644,5,7.336849632,Complete,16.49194431,7.1,0,51,255
149,21_240644_239139_5,DirP_25.0,0.003369916,241454.95,240644,21,0.000239332,240644,5,7.336849632,Complete,15.13431525,438.72,0.25,27,135
150,21_240644_239139_5,DirP_50.0,0.002936662,241350.69,240644,21,0.000239332,240644,5,7.336849632,Complete,16.82535386,1609.04,0.5,25,125
151,21_240644_239139_5,DirP_75.0,0.00277443,241311.65,240644,21,0.000239332,240644,5,7.336849632,Complete,16.69609118,1410.34,0.75,24,120
152,21_240644_239139_5,DirP_500,0.00280622,241319.3,240644,21,0.000239332,240644,5,7.336849632,Complete,15.0704577,1582.65,5,23,115
153,21_240644_239139_5,Naive,0.000863682,240851.84,240644,21,0.000239332,240644,5,7.336849632,Complete,4.381426573,1.69,,14,70
154,21_247044_245749_7,Directional,0.004695439,248203.98,247044,21,0.000188583,247044,7,7.353211477,Infeasible,11.21144509,1920.66,,10,70
155,21_247044_245749_7,DirP_0,-0.014238597,243526.44,247044,21,0.000188583,247044,7,7.353211477,Infeasible,15.34932113,35.1,0,22,154
156,21_247044_245749_7,DirP_25.0,0.031792434,254898.13,247044,21,0.000188583,247044,7,7.353211477,Complete,21.08654356,40.56,0.25,40,280
157,21_247044_245749_7,DirP_50.0,0.004281019,248101.6,247044,21,0.000188583,247044,7,7.353211477,Complete,24.72718382,1335.37,0.5,23,161
158,21_247044_245749_7,DirP_75.0,0.00372379,247963.94,247044,21,0.000188583,247044,7,7.353211477,Complete,22.51146245,699.55,0.75,23,161
159,21_247044_245749_7,DirP_500,0.004065227,248048.29,247044,21,0.000188583,247044,7,7.353211477,Complete,16.09162927,582.16,5,21,147
160,21_247044_245749_7,Naive,0.000236152,247102.34,247044,21,0.000188583,247044,7,7.353211477,Complete,4.391189575,3,,17,119
161,21_268762_268274_2,Directional,0.025094247,275506.38,268762,21,9.35E-05,268762,2,5.024403789,Infeasible,11.66391444,51.33,,19,38
162,21_268762_268274_2,DirP_0,0.076880921,289424.67,268762,21,9.35E-05,268762,2,5.024403789,Complete,14.82298732,3.06,0,64,128
163,21_268762_268274_2,DirP_25.0,0.024277614,275286.9,268762,21,9.35E-05,268762,2,5.024403789,Complete,14.82948828,300.75,0.25,30,60
164,21_268762_268274_2,DirP_50.0,0.024277614,275286.9,268762,21,9.35E-05,268762,2,5.024403789,Complete,14.76882577,300.75,0.5,30,60
